participant,id,response,time,group,condition,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,stimulus_size,stimulus_price,confidence_on_semantic
3,sp_filler_10,2,7.719,2,bimodal,,unacceptable,filler,spring,,,,,,,4
4,bl_test_1,4,2.601,2,unimodal,big expensive,,test,ball,big,expensive,scalar,first,,,5
4,bl_test_2,3,4.323,2,unimodal,expensive big,,test,ball,big,expensive,scalar,second,,,5
4,bl_test_3,3,3.414,2,unimodal,striped big,,test,ball,big,striped,absolute,second,,,5
4,bl_test_4,4,12.787,2,unimodal,big striped,,test,ball,big,striped,absolute,first,,,5
4,bl_test_5,3,5.129,2,unimodal,big cheap,,test,ball,big,cheap,scalar,first,,,5
4,bl_test_6,3,3.648,2,unimodal,cheap big,,test,ball,big,cheap,scalar,second,,,5
4,bl_test_7,3,7.115,2,unimodal,big plastic,,test,ball,big,plastic,absolute,first,,,5
4,bl_test_8,2,3.712,2,unimodal,plastic big,,test,ball,big,plastic,absolute,second,,,5
4,sp_test_1,2,23.169,2,bimodal,long expensive,,test,spring,long,expensive,scalar,first,,,5
4,sp_test_2,4,3.875,2,bimodal,expensive long,,test,spring,long,expensive,scalar,second,,,5
4,sp_test_3,3,5.906,2,bimodal,plastic long,,test,spring,long,plastic,absolute,second,,,5
4,sp_test_4,5,7.291,2,bimodal,long plastic,,test,spring,long,plastic,absolute,first,,,5
4,sp_test_5,3,4.556,2,bimodal,cheap long,,test,spring,long,cheap,scalar,second,,,5
4,sp_test_6,3,3.141,2,bimodal,long cheap,,test,spring,long,cheap,scalar,first,,,5
4,sp_test_7,3,2.22,2,bimodal,metal long,,test,spring,long,metal,absolute,second,,,5
4,sp_test_8,1,4.972,2,bimodal,long metal,,test,spring,long,metal,absolute,first,,,5
4,bl_filler_1,3,4.703,2,unimodal,,questionable,filler,ball,,,,,,,5
4,bl_filler_2,1,6.465,2,unimodal,,questionable,filler,ball,,,,,,,5
4,bl_filler_3,3,3.495,2,unimodal,,acceptable,filler,ball,,,,,,,5
4,bl_filler_4,5,4.548,2,unimodal,,acceptable,filler,ball,,,,,,,5
4,bl_filler_5,4,2.915,2,unimodal,,acceptable,filler,ball,,,,,,,5
4,bl_filler_6,1,3.544,2,unimodal,,unacceptable,filler,ball,,,,,,,5
4,bl_filler_7,1,17.104,2,unimodal,,questionable,filler,ball,,,,,,,5
4,bl_filler_8,1,3.171,2,unimodal,,questionable,filler,ball,,,,,,,5
4,bl_filler_9,1,4.242,2,unimodal,,unacceptable,filler,ball,,,,,,,5
4,bl_filler_10,5,3.189,2,unimodal,,acceptable,filler,ball,,,,,,,5
4,sp_filler_1,3,3.767,2,bimodal,,questionable,filler,spring,,,,,,,5
4,sp_filler_2,5,1.475,2,bimodal,,acceptable,filler,spring,,,,,,,5
4,sp_filler_3,3,10.645,2,bimodal,,acceptable,filler,spring,,,,,,,5
4,sp_filler_4,1,3.939,2,bimodal,,questionable,filler,spring,,,,,,,5
4,sp_filler_5,2,4.667,2,bimodal,,questionable,filler,spring,,,,,,,5
4,sp_filler_6,4,3.089,2,bimodal,,acceptable,filler,spring,,,,,,,5
4,sp_filler_7,1,4.747,2,bimodal,,questionable,filler,spring,,,,,,,5
4,sp_filler_8,1,4.114,2,bimodal,,unacceptable,filler,spring,,,,,,,5
4,sp_filler_9,4,3.641,2,bimodal,,acceptable,filler,spring,,,,,,,5
4,sp_filler_10,1,3.665,2,bimodal,,unacceptable,filler,spring,,,,,,,5
5,bl_test_1,4,2.458,1,bimodal,big expensive,,test,ball,big,expensive,scalar,first,,,5
5,bl_test_2,4,3.71,1,bimodal,expensive big,,test,ball,big,expensive,scalar,second,,,5
5,bl_test_3,5,3.775,1,bimodal,striped big,,test,ball,big,striped,absolute,second,,,5
5,bl_test_4,5,2.182,1,bimodal,big striped,,test,ball,big,striped,absolute,first,,,5
5,bl_test_5,4,4.18,1,bimodal,big cheap,,test,ball,big,cheap,scalar,first,,,5
5,bl_test_6,4,4.156,1,bimodal,cheap big,,test,ball,big,cheap,scalar,second,,,5
5,bl_test_7,5,2.594,1,bimodal,big plastic,,test,ball,big,plastic,absolute,first,,,5
5,bl_test_8,4,2.455,1,bimodal,plastic big,,test,ball,big,plastic,absolute,second,,,5
5,sp_test_1,3,3.472,1,unimodal,long expensive,,test,spring,long,expensive,scalar,first,,,3
5,sp_test_2,4,4.482,1,unimodal,expensive long,,test,spring,long,expensive,scalar,second,,,3
5,sp_test_3,4,2.77,1,unimodal,plastic long,,test,spring,long,plastic,absolute,second,,,3
5,sp_test_4,3,4.557,1,unimodal,long plastic,,test,spring,long,plastic,absolute,first,,,3
5,sp_test_5,4,5.382,1,unimodal,cheap long,,test,spring,long,cheap,scalar,second,,,3
5,sp_test_6,4,4.212,1,unimodal,long cheap,,test,spring,long,cheap,scalar,first,,,3
5,sp_test_7,4,2.554,1,unimodal,metal long,,test,spring,long,metal,absolute,second,,,3
5,sp_test_8,2,4.934,1,unimodal,long metal,,test,spring,long,metal,absolute,first,,,3
5,bl_filler_1,2,2.381,1,bimodal,,questionable,filler,ball,,,,,,,5
