experiment,participant,id,response,time,group,condition,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,stimulus_size,stimulus_price,confidence_on_semantic,disagreement_on_adj_target,disagreement_on_adj_secondary
1,102,ch_filler_9,4,4.898,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,102,ch_filler_10,5,2.861,2,bimodal,,unacceptable,filler,couch,,,,,,,,,
1,103,tv_test_1,4,3.487,2,unimodal,big expensive,,test,tv,big,expensive,scalar,first,,,,,
1,103,tv_test_2,5,2.278,2,unimodal,expensive big,,test,tv,big,expensive,scalar,second,,,,,
1,103,tv_test_3,4,6.412,2,unimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,,,
1,103,tv_test_4,5,2.392,2,unimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,,,
1,103,tv_test_5,4,1.889,2,unimodal,big cheap,,test,tv,big,cheap,scalar,first,,,,,
1,103,tv_test_6,4,1.91,2,unimodal,cheap big,,test,tv,big,cheap,scalar,second,,,,,
1,103,tv_test_7,5,2.159,2,unimodal,big discounted,,test,tv,big,discounted,absolute,first,,,,,
1,103,tv_test_8,4,2.039,2,unimodal,discounted big,,test,tv,big,discounted,absolute,second,,,,,
1,103,ch_test_1,4,2.776,2,bimodal,long expensive,,test,couch,long,expensive,scalar,first,,,,,
1,103,ch_test_2,4,1.816,2,bimodal,expensive long,,test,couch,long,expensive,scalar,second,,,,,
1,103,ch_test_3,2,2.474,2,bimodal,leather long,,test,couch,long,leather,absolute,second,,,,,
1,103,ch_test_4,4,1.794,2,bimodal,long leather,,test,couch,long,leather,absolute,first,,,,,
1,103,ch_test_5,4,2.994,2,bimodal,cheap long,,test,couch,long,cheap,scalar,second,,,,,
1,103,ch_test_6,4,20.642,2,bimodal,long cheap,,test,couch,long,cheap,scalar,first,,,,,
1,103,ch_test_7,4,1.78,2,bimodal,discounted long,,test,couch,long,discounted,absolute,second,,,,,
1,103,ch_test_8,4,5.043,2,bimodal,long discounted,,test,couch,long,discounted,absolute,first,,,,,
1,103,tv_filler_1,3,2.175,2,unimodal,,questionable,filler,tv,,,,,,,,,
1,103,tv_filler_2,2,6.973,2,unimodal,,questionable,filler,tv,,,,,,,,,
1,103,tv_filler_3,5,2.627,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,103,tv_filler_4,5,4.651,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,103,tv_filler_5,5,1.683,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,103,tv_filler_6,1,1.501,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,103,tv_filler_7,1,2.114,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,103,tv_filler_8,1,1.823,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,103,tv_filler_9,1,1.859,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,103,tv_filler_10,4,1.602,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,103,ch_filler_1,3,3.945,2,bimodal,,questionable,filler,couch,,,,,,,,,
1,103,ch_filler_2,4,1.722,2,bimodal,,acceptable,filler,couch,,,,,,,,,
