participant,id,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,group,condition,response,time
4,ch_test_8,long discounted,,test,couch,long,discounted,absolute,first,2,bimodal,5,3.225
4,tv_filler_1,,questionable,filler,tv,,,,,2,unimodal,4,5.805
4,tv_filler_2,,questionable,filler,tv,,,,,2,unimodal,1,3.434
4,tv_filler_3,,acceptable,filler,tv,,,,,2,unimodal,5,3.718
4,tv_filler_4,,acceptable,filler,tv,,,,,2,unimodal,5,2.449
4,tv_filler_5,,acceptable,filler,tv,,,,,2,unimodal,5,3.507
4,tv_filler_6,,unacceptable,filler,tv,,,,,2,unimodal,1,2.636
4,tv_filler_7,,unacceptable,filler,tv,,,,,2,unimodal,1,2.098
4,tv_filler_8,,unacceptable,filler,tv,,,,,2,unimodal,1,2.209
4,tv_filler_9,,unacceptable,filler,tv,,,,,2,unimodal,1,5.222
4,tv_filler_10,,acceptable,filler,tv,,,,,2,unimodal,5,4.065
4,ch_filler_1,,questionable,filler,couch,,,,,2,bimodal,4,5.576
4,ch_filler_2,,acceptable,filler,couch,,,,,2,bimodal,5,2.957
4,ch_filler_3,,acceptable,filler,couch,,,,,2,bimodal,5,2.677
4,ch_filler_4,,questionable,filler,couch,,,,,2,bimodal,1,7.397
4,ch_filler_5,,questionable,filler,couch,,,,,2,bimodal,1,4.208
4,ch_filler_6,,acceptable,filler,couch,,,,,2,bimodal,5,3.438
4,ch_filler_7,,unacceptable,filler,couch,,,,,2,bimodal,1,2.419
4,ch_filler_8,,unacceptable,filler,couch,,,,,2,bimodal,1,3.021
4,ch_filler_9,,acceptable,filler,couch,,,,,2,bimodal,5,3.242
4,ch_filler_10,,unacceptable,filler,couch,,,,,2,bimodal,1,2.394
5,tv_test_1,big expensive,,test,tv,big,expensive,scalar,first,1,bimodal,5,4.008
5,tv_test_2,expensive big,,test,tv,big,expensive,scalar,second,1,bimodal,4,12.884
5,tv_test_3,refurbished big,,test,tv,big,refurbished,absolute,second,1,bimodal,4,11.058
5,tv_test_4,big refurbished,,test,tv,big,refurbished,absolute,first,1,bimodal,5,3.942
5,tv_test_5,big cheap,,test,tv,big,cheap,scalar,first,1,bimodal,5,2.756
5,tv_test_6,cheap big,,test,tv,big,cheap,scalar,second,1,bimodal,3,10.41
5,tv_test_7,big discounted,,test,tv,big,discounted,absolute,first,1,bimodal,5,2.657
5,tv_test_8,discounted big,,test,tv,big,discounted,absolute,second,1,bimodal,5,7.338
5,ch_test_1,long expensive,,test,couch,long,expensive,scalar,first,1,unimodal,5,3.822
5,ch_test_2,expensive long,,test,couch,long,expensive,scalar,second,1,unimodal,5,4.509
5,ch_test_3,leather long,,test,couch,long,leather,absolute,second,1,unimodal,2,7.586
5,ch_test_4,long leather,,test,couch,long,leather,absolute,first,1,unimodal,5,3.301
5,ch_test_5,cheap long,,test,couch,long,cheap,scalar,second,1,unimodal,5,3.401
5,ch_test_6,long cheap,,test,couch,long,cheap,scalar,first,1,unimodal,5,5.311
5,ch_test_7,discounted long,,test,couch,long,discounted,absolute,second,1,unimodal,5,3.475
5,ch_test_8,long discounted,,test,couch,long,discounted,absolute,first,1,unimodal,5,2.843
5,tv_filler_1,,questionable,filler,tv,,,,,1,bimodal,5,3.142
5,tv_filler_2,,questionable,filler,tv,,,,,1,bimodal,1,6.871
5,tv_filler_3,,acceptable,filler,tv,,,,,1,bimodal,5,4.025
5,tv_filler_4,,acceptable,filler,tv,,,,,1,bimodal,5,4.039
5,tv_filler_5,,acceptable,filler,tv,,,,,1,bimodal,5,3.017
5,tv_filler_6,,unacceptable,filler,tv,,,,,1,bimodal,1,2.762
5,tv_filler_7,,unacceptable,filler,tv,,,,,1,bimodal,1,2.465
5,tv_filler_8,,unacceptable,filler,tv,,,,,1,bimodal,1,2.15
5,tv_filler_9,,unacceptable,filler,tv,,,,,1,bimodal,1,3.983
5,tv_filler_10,,acceptable,filler,tv,,,,,1,bimodal,5,2.791
5,ch_filler_1,,questionable,filler,couch,,,,,1,unimodal,5,3.589
5,ch_filler_2,,acceptable,filler,couch,,,,,1,unimodal,5,2.089
5,ch_filler_3,,acceptable,filler,couch,,,,,1,unimodal,5,4.645
5,ch_filler_4,,questionable,filler,couch,,,,,1,unimodal,5,4.956
5,ch_filler_5,,questionable,filler,couch,,,,,1,unimodal,2,9.858
5,ch_filler_6,,acceptable,filler,couch,,,,,1,unimodal,5,2.742
5,ch_filler_7,,unacceptable,filler,couch,,,,,1,unimodal,1,3.501
5,ch_filler_8,,unacceptable,filler,couch,,,,,1,unimodal,1,2.423
5,ch_filler_9,,acceptable,filler,couch,,,,,1,unimodal,5,8.278
5,ch_filler_10,,unacceptable,filler,couch,,,,,1,unimodal,1,4.038
6,tv_test_1,big expensive,,test,tv,big,expensive,scalar,first,2,unimodal,3,6.365
6,tv_test_2,expensive big,,test,tv,big,expensive,scalar,second,2,unimodal,4,4.63
6,tv_test_3,refurbished big,,test,tv,big,refurbished,absolute,second,2,unimodal,3,4.126
6,tv_test_4,big refurbished,,test,tv,big,refurbished,absolute,first,2,unimodal,4,6.492
6,tv_test_5,big cheap,,test,tv,big,cheap,scalar,first,2,unimodal,3,5.426
6,tv_test_6,cheap big,,test,tv,big,cheap,scalar,second,2,unimodal,4,4.129
6,tv_test_7,big discounted,,test,tv,big,discounted,absolute,first,2,unimodal,2,4.616
6,tv_test_8,discounted big,,test,tv,big,discounted,absolute,second,2,unimodal,5,3.355
6,ch_test_1,long expensive,,test,couch,long,expensive,scalar,first,2,bimodal,2,3.579
6,ch_test_2,expensive long,,test,couch,long,expensive,scalar,second,2,bimodal,4,3.399
6,ch_test_3,leather long,,test,couch,long,leather,absolute,second,2,bimodal,1,2.243
6,ch_test_4,long leather,,test,couch,long,leather,absolute,first,2,bimodal,5,3.118
6,ch_test_5,cheap long,,test,couch,long,cheap,scalar,second,2,bimodal,4,7.046
6,ch_test_6,long cheap,,test,couch,long,cheap,scalar,first,2,bimodal,2,5.628
6,ch_test_7,discounted long,,test,couch,long,discounted,absolute,second,2,bimodal,4,6.964
6,ch_test_8,long discounted,,test,couch,long,discounted,absolute,first,2,bimodal,2,3.766
6,tv_filler_1,,questionable,filler,tv,,,,,2,unimodal,5,2.331
6,tv_filler_2,,questionable,filler,tv,,,,,2,unimodal,2,4.002
6,tv_filler_3,,acceptable,filler,tv,,,,,2,unimodal,5,6.476
6,tv_filler_4,,acceptable,filler,tv,,,,,2,unimodal,4,2.444
6,tv_filler_5,,acceptable,filler,tv,,,,,2,unimodal,5,2.814
6,tv_filler_6,,unacceptable,filler,tv,,,,,2,unimodal,1,1.958
6,tv_filler_7,,unacceptable,filler,tv,,,,,2,unimodal,1,2.248
6,tv_filler_8,,unacceptable,filler,tv,,,,,2,unimodal,1,1.767
6,tv_filler_9,,unacceptable,filler,tv,,,,,2,unimodal,1,2.462
6,tv_filler_10,,acceptable,filler,tv,,,,,2,unimodal,5,6.67
6,ch_filler_1,,questionable,filler,couch,,,,,2,bimodal,5,5.286
6,ch_filler_2,,acceptable,filler,couch,,,,,2,bimodal,5,2.57
